x,y,z
0.016000000000000014,-0.0050000000000000044,0.022000000000000006
-0.004999999999999893,-0.011999999999999955,0.045
-0.0040000000000000036,-0.05899999999999997,0.038
-0.0029999999999998916,-0.03799999999999998,0.066
0.0129999999999999,-0.025999999999999968,0.061
-0.04899999999999993,-0.12,0.173
-0.07400000000000007,-0.0050000000000000044,0.32999999999999996
0.02400000000000002,-0.032999999999999974,0.546
0.05699999999999994,-0.044999999999999984,0.538
0.062000000000000055,-0.11499999999999999,0.42500000000000004
0.131,-0.182,0.355
0.050000000000000044,0.069,0.576
0.06400000000000006,-0.05099999999999999,0.43799999999999994
0.020999999999999908,-0.119,0.42200000000000004
0.030999999999999917,-0.05399999999999999,0.519
0.05800000000000005,-0.09999999999999998,0.52
0.04699999999999993,-0.15,0.58
0.20399999999999996,-0.22699999999999998,0.541
0.07400000000000007,-0.008000000000000007,0.45999999999999996
0.1060000000000001,0.131,0.42900000000000005
0.03499999999999992,0.03400000000000003,0.29500000000000004
0.06099999999999994,0.008000000000000007,0.42600000000000005
0.04600000000000004,0.038000000000000034,0.358
0.04800000000000004,-0.15799999999999997,0.523
0.014000000000000012,-0.22199999999999998,0.367
-0.06899999999999995,-0.379,0.106
0.0029999999999998916,-0.032999999999999974,-0.04899999999999999
-0.050000000000000044,-0.21099999999999997,0.16799999999999998
-0.052000000000000046,-0.356,-0.0050000000000000044
-0.030999999999999917,-0.175,-0.10900000000000001
-0.010000000000000009,-0.22299999999999998,-0.096
-0.03200000000000003,-0.296,-0.24400000000000002
-0.040999999999999925,-0.23299999999999998,-0.145
0.06699999999999995,-0.238,-0.24200000000000002
0.10000000000000009,-0.035999999999999976,0.244
-0.02499999999999991,-0.10799999999999998,0.5
0.07200000000000006,-0.15399999999999997,0.49
0.10899999999999999,-0.032999999999999974,0.46499999999999997
0.08299999999999996,-0.10399999999999998,-0.214
-0.03400000000000003,-0.09699999999999998,0.24
0.018000000000000016,-0.13599999999999998,0.14400000000000002
-0.0029999999999998916,-0.20799999999999996,-0.14
-0.04699999999999993,-0.16099999999999998,0.126
-0.04800000000000004,-0.184,0.176
-0.05400000000000005,-0.21699999999999997,0.16999999999999998
-0.050000000000000044,-0.174,0.197
-0.04299999999999993,-0.181,0.173
-0.050000000000000044,-0.20899999999999996,0.184
-0.05499999999999994,-0.19599999999999998,0.161
-0.05499999999999994,-0.23099999999999998,0.189
-0.062000000000000055,-0.21999999999999997,0.176
-0.05600000000000005,-0.22099999999999997,0.177
-0.052999999999999936,-0.206,0.181
-0.04800000000000004,-0.206,0.182
-0.050999999999999934,-0.19999999999999998,0.17099999999999999
-0.05499999999999994,-0.20099999999999998,0.16899999999999998
-0.05400000000000005,-0.20199999999999999,0.185
-0.04200000000000004,-0.21999999999999997,0.17099999999999999
-0.050999999999999934,-0.19199999999999998,0.175
-0.04699999999999993,-0.183,0.184
-0.040000000000000036,-0.178,0.174
-0.05499999999999994,-0.19299999999999998,0.185
-0.04899999999999993,-0.19199999999999998,0.188
-0.04699999999999993,-0.19,0.195
-0.04699999999999993,-0.20199999999999999,0.20400000000000001
-0.05499999999999994,-0.204,0.203
-0.04699999999999993,-0.19,0.20800000000000002
-0.04699999999999993,-0.19199999999999998,0.21100000000000002
-0.04400000000000004,-0.20299999999999999,0.226
-0.052000000000000046,-0.19899999999999998,0.224
-0.040999999999999925,-0.188,0.215
-0.04899999999999993,-0.19499999999999998,0.21000000000000002
-0.040999999999999925,-0.19,0.218
-0.04699999999999993,-0.19999999999999998,0.216
-0.05600000000000005,-0.187,0.20400000000000001
-0.050000000000000044,-0.19599999999999998,0.21100000000000002
-0.04800000000000004,-0.20199999999999999,0.218
-0.05800000000000005,-0.20299999999999999,0.215
-0.038999999999999924,-0.19699999999999998,0.242
-0.05400000000000005,-0.236,0.234
-0.052999999999999936,-0.21099999999999997,0.20900000000000002
-0.08899999999999997,-0.301,0.203
-0.06099999999999994,-0.33699999999999997,0.20500000000000002
-0.06099999999999994,-0.307,0.201
-0.06400000000000006,-0.284,0.176
-0.05699999999999994,-0.26699999999999996,0.20400000000000001
-0.10400000000000009,-0.492,-0.098
0.11699999999999999,-0.247,-0.45100000000000007
0.22299999999999998,-0.44999999999999996,-0.45200000000000007
0.0009999999999998899,-0.538,-0.383
0.05699999999999994,-0.44999999999999996,-0.7020000000000001
0.17100000000000004,-0.388,-0.264
0.21699999999999997,-0.15199999999999997,-0.507
0.04400000000000004,-0.6779999999999999,-0.779
0.09600000000000009,-0.367,0.04
1.907,-0.46399999999999997,-0.43200000000000005
2.909,1.665,-1.904
0.473,-0.479,-1.882
0.854,0.587,1.449
0.20399999999999996,-0.677,-0.43500000000000005
-0.05800000000000005,-0.524,-0.545
0.256,-0.22699999999999998,-0.44800000000000006
0.15000000000000002,-0.472,-0.346
-0.17999999999999994,-0.118,-0.42500000000000004
0.08299999999999996,-0.316,-0.43700000000000006
-0.040000000000000036,-0.495,-0.30600000000000005
-0.875,-1.062,-0.013999999999999999
1.916,1.706,-1.904
0.28400000000000003,0.595,-1.521
-0.05899999999999994,-0.558,-0.377
0.038999999999999924,-0.379,-0.4570000000000001
0.267,-0.33799999999999997,-0.30200000000000005
0.33999999999999997,-0.727,-0.876
0.352,-0.23299999999999998,-0.513
0.718,-0.283,-0.765
0.241,-0.534,-0.555
0.10299999999999998,-0.40299999999999997,-0.33799999999999997
0.1080000000000001,-0.357,-0.348
0.028000000000000025,-0.6719999999999999,-0.356
-0.08200000000000007,-0.494,-0.365
-0.0010000000000000009,0.0,-0.0010000000000000009
-0.0010000000000000009,0.0,0.0020000000000000018
0.0010000000000000009,0.0,-0.005999999999999894
0.0,0.0,-0.0010000000000000009
0.0,0.0,-0.0010000000000000009
0.0010000000000000009,0.0,0.0010000000000000009
0.0010000000000000009,0.0,-0.0020000000000000018
0.0,0.0,-0.0020000000000000018
0.0,0.0,-0.0010000000000000009
0.0,0.0,-0.0010000000000000009
0.0,0.0,-0.0010000000000000009
0.0,0.0,-0.0039999999999998925
-0.0020000000000000018,0.0,-0.0010000000000000009
-0.0010000000000000009,0.0,-0.0020000000000000018
0.0,0.0,0.0
0.0,0.0,-0.0010000000000000009
0.0020000000000000018,0.0,0.0010000000000000009
-0.0010000000000000009,-0.001,-0.0010000000000000009
-0.0010000000000000009,0.0,-0.0010000000000000009
0.0,0.0,0.0
0.0,0.0,-0.0020000000000000018
0.0,-0.001,-0.0010000000000000009
-0.0010000000000000009,-0.001,0.0010000000000000009
0.0,0.0,-0.0020000000000000018
-0.0010000000000000009,0.0,-0.0010000000000000009
-0.0020000000000000018,0.0,-0.0010000000000000009
0.0010000000000000009,0.0,-0.0010000000000000009
0.0,-0.001,-0.0010000000000000009
-0.0010000000000000009,0.0,-0.0010000000000000009
-0.0010000000000000009,0.0,-0.0010000000000000009
-0.0010000000000000009,0.0,-0.0020000000000000018
-0.0010000000000000009,-0.001,0.0
0.0,-0.001,-0.0010000000000000009
-0.0020000000000000018,-0.001,0.0030000000000000027
-0.0010000000000000009,0.0,-0.0020000000000000018
-0.0010000000000000009,0.0,-0.0010000000000000009
-0.0010000000000000009,0.0,0.0040000000000000036
0.0,0.0,-0.0020000000000000018
0.0,0.0,-0.0020000000000000018
-0.0010000000000000009,-0.001,0.0010000000000000009
-0.0020000000000000018,0.0,-0.0020000000000000018
-0.0010000000000000009,-0.001,0.0020000000000000018
-0.0010000000000000009,0.0,-0.0010000000000000009
-0.0020000000000000018,0.003,-0.006999999999999895
0.0010000000000000009,0.0,-0.0010000000000000009
-0.0010000000000000009,0.001,-0.0030000000000000027
0.0,0.0,-0.0020000000000000018
0.0,0.001,0.0
0.0,0.0,-0.0010000000000000009
0.0,0.0,0.0010000000000000009
0.0010000000000000009,0.0,-0.0010000000000000009
0.0,-0.001,-0.0010000000000000009
-0.0010000000000000009,0.0,-0.0020000000000000018
0.0,0.0,-0.0020000000000000018
0.0010000000000000009,0.001,-0.0010000000000000009
0.0010000000000000009,0.0,-0.0010000000000000009
-0.0020000000000000018,0.0,-0.0020000000000000018
0.0,0.0,-0.0010000000000000009
0.0,-0.001,-0.0010000000000000009
0.0,-0.001,-0.0020000000000000018
-0.0010000000000000009,0.0,-0.0010000000000000009
-0.0010000000000000009,-0.001,-0.006999999999999895
-0.0010000000000000009,0.0,0.0
0.0,0.0,-0.0010000000000000009
0.0,0.0,-0.0039999999999998925
0.0,0.0,-0.0020000000000000018
0.0010000000000000009,0.001,0.0
-0.0020000000000000018,0.0,-0.0020000000000000018
0.0,0.0,-0.0020000000000000018
0.0010000000000000009,0.0,-0.0010000000000000009
0.0,0.0,-0.0020000000000000018
0.0,0.0,-0.0010000000000000009
0.0010000000000000009,0.0,-0.0010000000000000009
0.0,0.0,-0.0020000000000000018
0.0,0.0,-0.0010000000000000009
-0.0010000000000000009,0.0,-0.0010000000000000009
0.0,0.0,-0.0039999999999998925
-0.0010000000000000009,0.0,-0.0010000000000000009
-0.0020000000000000018,0.0,-0.0020000000000000018
-0.0020000000000000018,0.001,-0.0020000000000000018
0.0,0.0,0.0
0.0020000000000000018,0.005,0.0030000000000000027
0.0040000000000000036,0.013,-0.0010000000000000009
0.0040000000000000036,0.012,0.0020000000000000018
0.0040000000000000036,0.01,-0.0030000000000000027
0.0050000000000000044,0.011,-0.0030000000000000027
0.0040000000000000036,0.01,-0.0010000000000000009
0.0040000000000000036,0.009,-0.004999999999999893
0.0040000000000000036,0.008,-0.0010000000000000009
0.0050000000000000044,0.011,-0.0020000000000000018
0.0030000000000000027,0.011,-0.0030000000000000027
0.006000000000000005,0.012,0.0010000000000000009
0.006000000000000005,0.01,-0.0010000000000000009
0.0040000000000000036,0.011,-0.0030000000000000027
0.0050000000000000044,0.01,-0.0020000000000000018
0.006000000000000005,0.01,-0.0010000000000000009
0.0050000000000000044,0.01,-0.0030000000000000027
0.0040000000000000036,0.01,-0.0030000000000000027
0.006000000000000005,0.011,-0.004999999999999893
0.0050000000000000044,0.009,-0.0010000000000000009
0.0040000000000000036,0.01,-0.0030000000000000027
0.0050000000000000044,0.009,-0.0010000000000000009
0.0050000000000000044,0.009,-0.0030000000000000027
0.006000000000000005,0.009,-0.0030000000000000027
0.0050000000000000044,0.01,0.0010000000000000009
0.0040000000000000036,0.01,-0.0020000000000000018
0.0050000000000000044,0.008,-0.006999999999999895
0.0040000000000000036,0.009,-0.0030000000000000027
0.0040000000000000036,0.009,-0.0030000000000000027
0.0040000000000000036,0.01,-0.005999999999999894
0.007000000000000006,0.01,-0.0020000000000000018
0.0040000000000000036,0.008,-0.0020000000000000018
0.0050000000000000044,0.008,-0.0020000000000000018
0.006000000000000005,0.009,-0.0010000000000000009
0.0050000000000000044,0.008,-0.0020000000000000018
0.0050000000000000044,0.009,-0.005999999999999894
0.0050000000000000044,0.009,-0.0030000000000000027
0.0050000000000000044,0.009,-0.0010000000000000009
0.006000000000000005,0.009,-0.0030000000000000027
0.006000000000000005,0.009,-0.0030000000000000027
-0.0010000000000000009,0.0,0.0
-0.0020000000000000018,0.0,0.0030000000000000027
-0.0010000000000000009,0.0,-0.0009999999999998899
-0.0010000000000000009,0.0009999999999999992,0.0010000000000000009
-0.0010000000000000009,0.002,0.0030000000000000027
0.0,0.0,0.0010000000000000009
-0.0020000000000000018,0.0,0.0
0.0,0.0,0.0040000000000000036
